Empty,"TB is intracellular; thereby TH1 cells mediate the response with granulomas, stimulating formation of giant cells, etc."
" can be divided into the superficial, which follows veins, and the deep, which follows arteries",Lymphatic system
" in the lower limbs, can be divided into the lateral and medial; of which the medial bypasses the popliteal towards the inguinal via tracking with the great saphenous vein",Superficial lymphatic system
 lymph from this male GU organ primarily drains into the internal iliac lymph nodes,Prostate
 lymph from these male GU structures primarily drains into the superficial inguinal lymph nodes,"Scrotum, skin of penis"
" done 2 ribspaces below lung parenchyma because the pleura extends down 2 ribspaces; performed at the 8th rib at the midclavicular line, 10th rib at midaxillary line, and 12th rib along paravertebral line (posterior)",Thoracentesis
 provides an anastamosis of blood flow from the superior mesenteric artery with the inferior mesenteric artery,Marginal artery (of Drummond)
" when it affects the oculomotor nerve, its due to direct mass effect and NOT herniation; generally due to location between posterior cerebral and superior cerebellar arteries",Berry aneurysms
" can be caused by bulging intervertebral disc, hypotrophied vertebral facet, or a thickened ligamentum flavum",Spinal stenosis
" presents as lower-lumbar pain, parasthesias, numbness that is posture dependent; most commonly caused by degenerative arthritis of the spine",Spinal stenosis
" associated with ""shopping cart sign"" where back pain is relieved with leaning forward on a shopping cart instead of standing straight",Spinal stenosis
" SAD PUCKER aka-  suprarenal glands, aorta, duodenum (2nd,3rd parts), pancreas, ureters, colon, kidneys, esophagus, rectum (mid-distal)",Retroperitoneal organs
" bursa above the patella, compare to pre-patellar, which commonly gets injured with kneeling-work",Suprapatellar
 associated necrosis of the putamen and other basal ganglia structures,Wilson's disease
" reflex mediated by the glossopharyngeal and vagus nerves (CN IX, CN X)",Gag reflex
" if deviated, it is towards the normal side (which maintains tone)",Uvula deviation
" if deviated, it is towards the side with the lesion",Tongue atrophy deviation
 diagnosed by joint-line tenderness while the knee if flexed,Meniscal injury
 injury of this knee meniscus and ligament usually occur together,Medial cruciate ligament (MCL) and medial meniscus injury
" innervated by the posterior cord of the brachial plexus (C6-C8), the thoracodorsal nerve, and assists with arm extension, adduction, internal rotation",Latissimus dorsi
" innervated by CN XI, commonly injured in whiplash injuries",Trapezius
 double layer of peritoneum that extends from the liver to the lesser curvature of the stomach and beginning of the duodenum,Lesser omentum
 is divided into hepatogastric and hepatoduodenal ligaments,Lesser omentum
 visceral peritoneum that connects the stomach with the transverse colon,Gastrocolic ligament
" these ""false"" ribs can lacerate kidneys if fractured; the kidney lies immediately deep to the latter","11th, 12th ribs"
 this structure is near the septal leaflet of the tricuspid valve and the orifice of the coronary sinus,AV node location
 name of the foramen ovale once closed,Fossa ovalis
 this structure is near the upper right anterior right atrium near the entry of the superior vena cava,SA node location
" a fasiculus that connects Broca's and Wernicke's areas; damage results in conduction aphasia (intact speech, understanding but IMPAIRED REPTITION)",Arcuate fasiculus
 can be associated with high TRH causing hyperprolactinemia,Hypothyroidism
" D-dimers within normal range, despite kidney dysfunction and elevated intravascular hemolysis",Hemolytic uremic syndrome
 associated with gallstones because bile acids are lost in feces; bile acids are normally reabsorbed to prevent cholesterol supersaturation,Crohn's disease
" hypersensitivity vasculitis associated with penicillin intake; small vessel vasculitis that presents with non-blanching palpable purpura; histologically, neutrophilic infiltrate + fibrinoid necrosis of small vessels",Leukocytoclastic vasculitis
 another name for IGF-1,Somatomedin C
" while this hormone has the effect of promoting bone growth, it also has the effect of closing epiphysial plates, which results in shorter stature despite an initial growth spurt",Estrogen / Sex hormones
 can simply present as painful swelling in hands and feet,Dactylitis
" normally expressed on surface of activated T-cells to act as a inhibitory switch; cancer cells can express it's ligand, PD-L1 to inhibit T-cells",PD-1 / programmed death receptor 1
" assoc with high mortalitity from fulminant hepatitis in pregnant women; it is an unenveloped, single-stranded RNA virus that is spread through fecal oral route",Hepatitis E
" hyperkeratosis, biliary obstruction, night blindness ""near misses while driving at night""",Vitamin A deficiency
" endogenous hormones that preferentially constrict the efferent arteriole, increasing GFR","Angiotensin II, BNP, ANP"
" along with T-cell receptor, interacts with B cell B7 to activate t-cells",CD-28
" mediates G1 to S progression; present in two forms, active / hypophosphorylated, and inactive / hyperphosphorylated; active results in binding to E2F transcription factor, rendering it inactive and preventing S-phase from occuring",Retinoblastoma (Rb)
"  histologically, presents with microabscesses containing neutrophils and fibrin on dermal papillae; involves formation of IgA antibodies against gliadin, same as celiac disease",Dermatitis herpatiformis
 presents during 40s and 50s bilaterally and symmetrically on extensor surfaces,Dermatis herpatiformis
" can present with lacy erythematous rash below face following a fever, like HHV-6; reproduces in erythrocyte precursors, which can contribute to aplastic anemia",Parvovirus B19
" reproduces within mature intestinal epithelial cells, which slough off after and result in profuse watery diarrhea",Rotavirus
" antibody-immune complexes, while not directly responsible for causing liver damage, can cause early and late signs (e.g. arthralgias, urticaria, and glomerulonephritis, vasculitis respectively)",Hepatitis B infection
 severity of the disease is highly associated with systemic IL-6 levels,Giant cell arteritis
" in this process oxygenated blood from placenta enters towards the liver via IVC, which is then delivered to the heart; deoxygenated blood is delivered via umbilical arteries; blood bypasses lungs through ductus arteriosus",Fetal circulation
 can present with sulfur granules in bronchi following aspiration of bacteria,Actinomyces israelii
 metabolized into methionine (via a B12 dependent process) or cysteine (via a B6 dependent process),Homocysteine
" a sheet of peritoneum that can be broken down into 3 structures- mesosalpinx (fallopian tube to ovary), mesoovarium (fallopian tube to ovary, buf inferior to mesosalpinx), mesometrium (medial to ovary)",Broad ligament
" aka infundibulopelvic ligament, lateral to the ovaries and attaching the ovaries to the abdominal sidewall, this ligament contains the ovarian ovary, vein, lymphatics, and nerves; damage to this can result in ovarian infarc",Suspensory ligament of the ovary
 analogous to the spermatic cord in males; this ligament in females also courses through the inguinal canal,Round ligament
 band of connective tissue and smooth muscle that connects the ovary to the side of the uterus medial to the fallopian tubes; does not contribute vasculature,Ovarian ligament
 aka transverse cervical ligament; connects the cervix and lateral fornix of the vagina to the pelvic walls,Cardinal ligament
" occurs when the superior mesenteric artery is occluded; resulting in blind-ended proximal jejunum, length of absent bowel and mesentery, and terminal ileum spiraled around an ileocolic vessel",Apple peel atresia
" can be used to determine chances of having a genetic disease if disease prevalence, allele frequency, or carrier frequency with either normal or diseased allele frequency is known",Hardy Weinberg analysis
" androgenic alopecia, epilepsy, glaucoma, hypertension, ischemic heart disease, schizophrenia, T2DM all share this kind of inheritance",Polygenic inheritance
" think ""acetylate = activate""; this process enables DNA to stay in heterochromatin instead of euchromatin)",Histone acetylation
 bodies of hyper-de-acetylated DNA of condensed heterochromatin due to X-inactivation,Barr bodies
" good pharmacotherapy for long term prevention of asthma attacks, allow individuals to discontinue oral glucocorticoids and decrease dose of inhaled steroids",Omalizumab
 can result in mild hemolytic anemia that resolve with warm temperatures and when IgM falls from initial infection,Cold agglutinins
" histologically, associated with hyalinization on alveolar membranes",ARDS / acute respiratory distress syndrome
 can acutely worsen subluxation of the cervical spinal cord (e.g. already present through RA),Endotrachial intubation
 all probabilities associated with independent events (e.g. multiple tests will not change these parameters),"PPV, NPV"
" this condition is associated with the ECG readings of NO P WAVES, narrow QRS complexes, irregularly irregular R-R intervals",Atrial fibrilation
 this part of the electrical conduction system of the heart determines the width of the QRS complex,Bundle branch conductivity
 is the main site of pacemaking in atrial fibrillation,Atrioventricular (AV) node
 useful modality for treating infertility; great at keeping elevated LH and FSH levels,Pulsatile GnRH
" useful modality for treating breast cancer, endometriosis, prostate cancer; great at keeping low LH and FSH after an initial spike",Continuous GnRH
" prevents PTH from being suppressed in response, which results in high serum Ca2+ with high to normal PTH levels",Familial hypocalciuric hypercalcemia
" occurs with stenosis of the subclavian artery proximal to the origin of the vertebral artery; presents asymptomatically, with arm ischemia, or with vertebrobasilar insufficiency; diagnosed via doppler ultrasound",Subclavian steal syndrome
 can present as retrograde flow on vertebral artery (due to other side being heavily stenotic),Subclavian steal syndrome
" in the kidney, is the GFR/RPF or renal plasma flow",Filtration fraction
 can be reduced with efferent arteriole constriction,Renal plasma flow
" this kidney flow state results in greatly increased oncotic pressure inside the glomerular capillaries, greatly limiting glomerular flow rate (GFR) despite increasing filtration fraction (FF)",Reduced renal plasma flow with severely constricted efferent arteriole
" this organ, innervated by 1b neurons, can sense muscle tension; when too much tension is present, these will induce sudden muscle relaxation",Golgi tendon organ
" this organ, innervated by 1a and 2-type neurons, are sensitive to muscle stretch for proprioception",Intrafusal muscle fibers
" can present with RBCs that ""lack central pallor"" on blood smear",Spherocytosis
" most sensitive strategy for screening for malabsorption disorders; example is ""Sudan III""",Staining stool for fat
 mitogen for fibroblast lines secreted by mast cells during times of anaphylaxis,Tryptase
 aka high-affinnity IgE receptor; found on mast cells; normally bind most IgE in circulation due to strong noncovalent bonding,FcERI
 caused by abnormal mitochondria accumulating underneath the sarcolemma of muscle fibers; associated with epilepsy (MERRF),Ragged red fiber myopathy
" 3 most important are - myoclonic epilepsy with ragged red fibers (MERRF), Leber optic neuropathy, and mitrochondrial encephalopathy with stroke-like episodes and lactic acidosis (MELAS)",Mitochondrial myopathies
 associated with increased nitrogen delivery to the gut in the form of Hb; this can cause hepatic encephalopathy in the setting of cirrhosis,Gastrointestinal bleeding
" state associated with accumulation of neurotoxins such  as ammonia; results in impaired inhibitory transmission, impaired excitatory neurotransmitter release",Hepatic encephalopathy
 anti-inflammatory cytokine produced by macrophages and Th2 cells to limit inflammatory cytokine release,IL-10
 can secrete a ACTH-like substance that causes Cushing's disease,Small-cell carcinoma of the lung
 hormone that exerts its effects on the medullary segment of the collecting duct,Vasopressin
" a circuit where a pulmonary artery and bronchial artery drains to a pulmonary vein, which in turn drains to the left atrium; aka normal physiologic shunting",Bronchial blood circuit
" can be divided into linker (H1) and core (H2,H3,H4) subtypes",Histones
 metabolic pH state that occurs with longer term high-altitudes,Respiratory alkalosis with metabolic compensation
  CGG repeat in this illness associated with hypermethylation and inactivation of its genes,Fragile X
 a highly-cellular and vascularized from which neurons and glial cells migrate out during development; common site for hemorrhage in prematurity,Germinal matrix
" the cruciate ligament inserting into the tibia posteriorly; originates from the *medial* condyle of the femur, anterolaterally",Posterior cruciate ligament
" can be caused by acute ischemia in posterior inferior cerebellar artery (a branch of the vertebral artery); associated with cerebellar ischemia, vertigo/nystagmus, ipsilateral cerebellar signs, loss of pain/temperature sensation in the ipsilateral face and contralateral body",Lateral medulary syndrome
" damage to this area of the brain in the temporal lobe will result in right or left homonymous superior quadrantanopia (""pie in the sky"")",Meyer's loop
 damage to the RIGHT optic tract caudal to the optic chiasm will result in this vision defect,Left homonymous hemianopia
Lesion in the LEFT dorsal optic radiation will result in this vision defect,"Right homonymous inferior quadrantanopia (""pie on the floor"")"
" in this procedure, immediately anterior to the esophagus is the left atrium; immediately posterior to the esophagus is the descending aorta",Transesophageal echocardiogram
" suggests sensitivity to trastuzumab, but at the same time, more aggressive cancer (instead of high progesterone or estrogen receptor expression)",Her2 overexpression
 these infections usually involve a period of immune-tolerant viral infection with normal liver testing; despite heavy replication of virus in liver,Perinatal Hepatitis B infection / anicteric Hepatitis A infection
 classical form of this disease is caused by a lack in UV-specific endonuclease involved in recognition and removal,Xeroderma pigmentosum
 familial cancer syndrome with Rb gene two-hit hypothesis; associated with osteosarcomas later in life,Familial retinoblastoma
" occurs acutely, decreases both GFR and FF because there is back-flow from the tubules",Acute urethral obstruction
 a test that uses specific antibodies and a fixed quantity of radiolabeled antigen to detect the amount of an antigen present in an unknown sample; this is done by measuring that amount of radiolabed antigen DISPLACED from the antibodies in the system,Radioimmunoassay
" associated with high levels of ""inhibin a"" and low alpha-fetoprotein in utero",Down syndrome
 stop codons; the last AA is added via the preceding codon on mRNA,"UGA, UAA, UAG"
" since this section of the rectum is more like colon, lymph drains following the colonic arterial system (e.g. internal iliac)",Lymphatic drainage of the rectum proximal to the dentate line
 this section of the rectum drains lymph towards the inguinal lymph nodes,Lymphatic drainage of the rectum distal to the dentate line
 most common cause of unilateral fetal hydronephrosis,Inadequate cannulization of the uretopelvic (ureter and kidney) junction
" this disease state can be divided into- congestion, red hepatization, gray hepatization, and resolution",Stages of pneumonia
" occurs during the first 24 hours of pneumonia; macroscopically, boggy, red; microscopically, mostly bacteria in exudate",Congestion phase of pneumonia
" occurs on day 2-3 of pneumonia; macroscopically, red, firm with liver-like consistency; microscopically, contains fresh RBCs, neutrophils, fibrin",Red hepatization phase of pneumonia
" occurs on day 4-6 of pneumonia; macroscopically, gray, brown firm lobe; microscopically, contains *lysed* RBCs, neutrophils, fibrin",Gray hepatization phase of pneumonia
" originates in the upper third of the iliac fossa (upper ridge of hip, medial side); flexes and medially rotates the thigh",Iliacus muscle
 originates at the transverse vertebral processes at T2-L5; combines with iliacus muscle for hip flexion,Psoas muscle
" can present with flank pain, gross hematuria, elevated lactate dehydrogenase",Renal infarction
" O2 is disproportionately affected relative to CO2, which has 20 times the ability to diffuse",Diffusion limited gas exchange
 104mmHg; compare to normal PaO2 which is around 100mmHg,Normal alveolar pO2 (PAO2)
 responsible for the shift in pain from umbilicus to McBurney's point in appendicitis,Progressive inflammation of the parietal peritoneum
" S2-S4, responsible for perineum sensory and urethral &amp; anal sphincter motor control",Pudendal nerve
" T12-L1, responsible for suprapubic sensory",Iliohypogastric nerve
" L1-L2 origin, responsible for sensory in scrotum/labia majora, medial thigh, as well as the cremasteric reflex",Genitofemoral nerve
" L2-L3 origin, responsible for sensory of anterior and lateral thigh",Lateral femoral cutaneous nerve
" in healthy, around 5-15mmHg, with older individuals having a slightly larger range due to reduced O2 diffusing capacity",A-a gradient
 this breathing state is noted by a low PaO2 with NORMAL A-a gradient,Hypoventilation
 this breathing state is noted by a low PaO2 with a LARGE A-a gradient,"V/Q mismatch, shunting, diffusion impairment"
" can present with watery diarrhea, colonic cell epithelial necrosis with fibrin deposition (colitis), yellow-white plaques on colon",Clostridium difficile
" mediated by T-cells and macrophages, this syndrome can develop over a day with cardiovascular collapse, hypotension, shock, fever, skin findings, multi-organ failure; usually caused by IL-1 and IL-2 release",Toxic shock syndrome
" describes which artery supplies the AV node; can be either one, the other, or both",Coronary artery dominance
 the state where the right coronary artery supplies the AV node,Right coronary artery dominant
 the state where the left circumflex artery supplies the AV node,Left coronary artery dominant
" caused by _reduced_ numbers of inhibitory ganglia, which results in decreased amplitude of peristalsis and incomplete relaxation at the LES; compare to CREST syndrome, where there will be decreased tone at the LES",Achalasia
 treatment of undescended testes involves passage of the testis through the superficial inguinal ring and fixing it to the scrotum,Orchiplexy
 aka the superficial inguinal ring,Opening in the external abdominal oblique aponeurosis
 aka the deep inguinal ring; located superior to the mid-inguinal point (between ASIS and pubic tubercle),Opening in the transversalis fascia
" process mediated by a Na+/Ca2+ exchange pump, and sarcoplasmic reticulum Ca2+ ATPase pump",Calcium efflux from cardiac cells prior to relaxation
 a Ca2+ binding messenger protein; useful for signal transduction AND for excitation-contraction coupling in smooth muscle cells,Calmodulin
 associated with excessive matrix metalloproteinase activity and myofibroblast accumulation can result in this post-wound state,Contracture
 can present as unilateral or bilateral fetal hydronephrosis; results from incomplete closure at the vescoureteral junction (bladder/ureter interface),Vesicoureteral reflux
 can benefit from over-night stimulation of the hypoglossal (CN XII) can cause the tongue to move over slightly limiting obstruction,Sleep apnea
 these substances are integrated into the cell wall of gram positive bacteria and have a more mild lipopolysaccharide-like endotoxin effect,Techoic acid and lipotechoic acid
 most common elbow injury in children 1-4yrs; associated with a tear in the annular ligament separating the radius bone from the capitulum of the humerus; can present with arm extended with full pronation,Radial head subluxation
" for those with this glucose-related condition, screening for albumin is sensitive for this disease; albumin loss is the earliest manifestation of this disease",Diabetic nephropathy
 SA>AV>Purkinje,Rank of pacemaking speed
 normally suppresses AV and Purkinje control of heart via faster pacemaking,SA node
" occurs when there is complete non-communication between SA and AV nodes; causes slower ventricular pumping, decoupled P and QRS waves",Third degree AV block
" on ECG <20 beats per minute; prolonged, abnormally shaped QRS complexes due to aberrant conduction through ventricles",Cardiac Pacemaking below AV and bundle of His
" heard more loudly with listening at expiration due to decreasing lung volume, bringing the heart closer to the chest wall",Heart sounds
 has 4 phases- 1) onset w/ increased BP 2) decreased preload and stroke volume 3) release of straining with normalization of blood flow 4) BP overshoot and return to HR baseline,Valsalva maneuver
 has 4 parts - 1) bulb (assoc with Peptic ulcers) 2) descending (w/ Ampulla of Vater) 3) transverse (SMA syndrome at L1) 4) ascending (joins jejunum),Duodenum
 describes when the abnormal gene negatively affects the product of a wild-type gene in the same cell (e.g. some p53 mutations prevent p53 from binding in normal cells),Dominant negative
 tendency of alleles to be inherited jointly due to physical proximity,Genetic linkage
 refers to the ability of one disease/trait to be caused by mutations in multiple different genes,Locus heterogeny
 where multiple phenotypic manifestations result from a single genetic mutation,Pleiotropy
 hormone that mediates contraction of the gallbladder,Cholecystokinin
 aka complete or partial collapse of a lung,Atelectasis
" when found in isolation, can also mean incorrect dating of gestation (as average range goes up continuously through gestation); incorrect dating often occurs with irregular menses",High or low alpha-fetoprotein
" in addition to ventral wall defects of open neural tube defects, associated with multiple gestation",High alpha-fetoprotein
" can present with fever, sore throat, oral ulcerations, and other signs of infection in individuals taking methimazole or propylthiouracil for Graves' disease; white blood cell count and differential + stop drug should be immediate next step",Thionamide-induced granulocytosis
" in addition to early onset sexual activity and infection with HPV, other risk factors for this include tobacco use and immunosupression",Risk factors for cervical cancer
 caused by dilation of the left gastric vein and the esophageal vein,Esophageal varices
" caused by dilation of the paraumbilical veins, along with the superficial and inferior epigastric veins",Caput medusae
 caused by dilation of the superior rectal vein along with the middle and inferior rectal veins,Anorectal varices
 most common degree of separation of dizigotic twins in utero,Dichorionic diamniotic twinning
" these kinds of twins are always the same sex, genetically identical, and similar in appearance",Monozygotic twins
 most common degree of separation with monozygotic twins,Monochorionic diamniotic twinning
" in addition to reducing glutathione, this compound is also useful for the biosynthesis of cholesterol, fatty acids, and steroids",NADPH
" unlike NADH, this compound cannot convert ADP to ATP",NADPH
 both promote eosinophil activation,IL-4 and IL-5
 typically DO NOT elicit a eosinophilic response; despite their harm,Non-invasive protazoa
 autosomal recessive metabolic disorder,Phenylketonuria (PKU)
" despite the procedure being complete, males can still have viable sperm for 3 months or 20 ejaculations",Vasectomy
 most fluid from ejaculate comes form here,Seminal vesicles and prostate
" compensation is mostly seen in the respiratory system and NOT via increased bicarb, mostly because it is already compromised to the point of reaching acidosis",Metabolic acidosis
" with this mode of inheritance, should see all females in a generation with the condition",X-linked dominant
" with this mode of inheritance, there should be around 50% of offspring of an affected parent with the condition",Autosomal dominant
" with this mode of inheritance, there should be around a 25% of offspring of carrier parents with this condition; can skip generations, increased with cosanguinuity",Autosomal recessive
" crosses between humoral and ulnar heads of pronator teres, then runs between flexor digitorum superficialis and flexor digitorum profundus before crossing the wrist at the carpal tunnel",Median nerve
" courses between olecranon and medial epicondyle of the humerus, then runs between flexor carpi ulnaris and flexor digitorum profundus",Ulnar nerve
" can present with gradual worsening of symptoms; on X-ray, shows as a completely opacified hemithorax with tracheal deviation TOWARDS the affected side (atelectasis), compare with pleural effusion, which can look similar but with tracheal deviation AWAY from the affected side",Brachial obstruction
 presents as fluffy CXR infiltrates,Pulmonary edema
" on CXR, presents as reticular markings bilaterally, (e.g. pulmonary fibrosis)",Interstitial lung disease
" aka rapamycin, inhibits IL-2 signal transduction via antagonizing mTOR (mammalian target of rapamycin)",Sirolimus
" inhibits calcineurin in lymphocytes, which is responsible for IL-2 transcription (and thus downstream secretion)","Tacrolimus, Cyclosporine"
 can be described as interalveolar wall destruction,Restrictive lung diseases
 associated with supraconylar humerus fractures or entrapment between pronator teres; loss of sensation and motor function,Proximal injury to median nerve
" common with suicide attempts or carpal tunnel, flexion and sensation are preserved because they tend to arise more proximally",Distal injury to median nerve
 Breast > Lung > Colon,Incidence rates of cancer
 Lung > Colon > Breast,Mortality rates of common cancers
 Menstruation > GI bleeding (occult) >> Malnutrition,Most common causes of anemia
 starts to be detected in maternal serum 1wk after fertilization; whereas starts to be detected in maternal urine 2 wks after fertilization,Beta-hCG
 Fas ligand binding with this receptor drives programmed cell death via the cyotoxic T-cell mediated pathway; cancers can use alternative splicing to omit the transmembrane trafficing domain of this protein preventing apoptosis,Fas receptor
 mRNA that codes for multiple proteins via multiple open reading frames; eukaryotes only have single reading frames,Polycistronic mRNA
" associated with overproduction of vitamin K and folate by intestinal bacteria, but deficiency of most vitamins (B12, A,D,E, iron)",Small intestinal bacterial overgrowth
 can cause small intestinal bacterial overgrowth due to excessive bacterial proliferation in the blind pouch gastroduodenal segment,Gastric bypass surgery
" located near skin of the LATERAL leg compartment (and thus won't be compressed in compartment syndrome), this nerve provides sensation to the dorsum of the foot, lateral leg, as well provide foot eversion",Superficial peroneal nerve
" located by the interossesus membrane in the anterior tibial compartment of the leg (and this WILL be compressed in compartment syndrome), this nerve provides sensation to the webspace between first and second toes, as well as provide the ability to dorsiflex and extend toes",Deep peroneal nerve
" if injured, will show signs of both deep and superficial nerve peroneal nerve injury; associated with superficial trauma to the neck of the fibula (e.g. lateral knee blows, tight casts), due to it running on the laterally before splitting",Common peroneal nerve
" mediated by inducing low pCO2 in the brain, which allow reduction of fluid and intracranial pressure in the setting of cerebral edema",Vasoconstriction of cerebral vessels
" can cause diabetes mellitus due to constant release of glucose from excessive glucagon; can also present with GI symptoms, necrolytic migratory erythema (face, groin, legs)",Glucagonoma
 a phenomenon where chloride ions migrate into RBCs in venous states to maintain electrical neutrality when some HCO3- migrates into plasma from RBCs,Chloride shift
 also present in RBCs to convert CO from cellular respiration into H2CO3/ HCO3-,Carbonic anyhdrase
 RBC's carry carbon dioxide in these two forms,Carbamate (Hb-NH2-CO2) and H2CO3
 a phospholipid present in the gallbladder to assist bile salts with detergent action; low levels of this can help precipitate stones,Phosphatidylcholine
 usually at -5cmH2O,Intrapleural pressure
 contains the chemoreceptor trigger zone (CTZ) near the dorsal medulla near the 4th ventricle,Area postrema
 1/TPR = 1/R1 + 1/R2 + ... 1/Rn,Total parallel resistance (e.g. body resistance)
 R_artery + R_arteriole + R_cap + R_venule + R_vein,Total serial resistance (E.g. organ resistance)
 delayed hypersensitivity reactions specificaly refer to this kind of hypersensitivity,Type IV hypersensitivity
 area where food is diverted to (away from epiglottis) with swallowing,Piriform recess
" reflex contraction of the pharyngeal constrictor muscles evoked by touching the back of the threat; afferent mediated by CN IX, efferent mediated by CN X",Gag reflex
" reflex cough induced by upper airway irritation; afferent mediated by _internal laryngeal nerve_ in the piriform recess (branch of CN X), efferent mediated by CN X",Cough reflex
 reflexive compensatory eye movements providing image stabilization with movement of head and neck; afferents mediated by CN VIII,Vestibulo-ocular reflex
" stretch reflex stimulating masseter contraction; afferent mediated by CN V3, efferent mediated by CN V3",Jaw-jerk reflex
 common injury when foreign bodies become lodged in the piriform recess (e.g. fish bones),Internal laryngeal nerve injury
 3 separate smooth muscle ribbons that travel longitudinally on the outside of the colon and converge upon the root of the appendix; can be used to locate the appendix,Teniae coli
 non-pathogenic strains can gain pathogenicity (pseudomembrane production) via aquiring the _Tox_ gene via lysogenization by a temperate bacteriophage,Diptheriae
 process by which a bacteriophage infects a host bacterium and integrates its genome into the bacterial genome,Lysogenization
" excessive TGF-beta production drives an aberrant would healing process, forming these; can be raised, painful, and pruritic",Keloids
" extraperitoneal; when gaining access through suprapubic cytostomy, the trocar and cannula will pierce the layers of the abdominal wall and not the peritoneum",Bladder
 these cells cannot use ketone bodies due to lack of mitochondria,Erythrocytes / RBCs
" in addition to webbed neck, coarctation of the aorta, bicuspid aortic valve, and horseshoe kidney, this syndrome is also associated with premature ovarian failure (e.g. ovaries are fibrous)",Turner syndrome
" this pathway requires antibodies (IgM >> IgG) to function, where C1 binds to the upper Fc portion due to physical ease",Classical complement pathway
" gives rise to maxilla, mandible, middle ear bones, and chewing muscles",1st pharyngeal arch
" can also present in a young girl with low hairline, narrow, highly arched palate, broad chest with widely spaced nipples, and cubitus valgus",Turner syndrome
 well-developed in protein-secreting cells,Rough endoplasmic reticulum / RER
" lacks surface ribosomes; functions in lipid synthesis, carbohydrate metabolism, and detoxification of harmful substances",Smooth endoplasmic reticulum / SER
 this kind of carcinoma tends to occur once viral DNA integrates into the genome of host hepatocytes,Hepatocellular carcinoma
" this type of bilirubun excess results in neurological impairment, unlike the other, more water-soluble kind",UNconjugated bilirubun excess
 cyclic breathing pattern where apnea is followed by gradually increasing then decreasing tidal volumes until the next apneic period; associated with advanced congestive heart failure,Cheyne-Stokes breathing (CSB)
" caused by hyperventilation with hypocapnia, followed by excessive buildup of CO2; also seen in neurologic disease (e.g. stroke, tumors, traumatic brain injury)",Cheyne-Stokes breathing (CSB)
" short for human menopausal gonadotropin  therapy; mimics FSH and triggers formation of a dominant ovarian follicle, followed by an hCG shot, which is structurally similar to LH",Menotropin therapy
" structurally, this MHC is made of a heavy chain and a beta-2-microglobulin",MHC class I
" structurally, made of alpha and beta polypeptide chains",MHC class II
" still have some mild systemic effect, resulting in mild afterload decrease; despite being mostly a preload decreasing agent",Nitric oxide
" hormone secreted by syncytiotrophoblast that stimulates glucose levels in maternal circulation for fetus, as well as increased lipolysis for fetus",Human placental lactogen (hPL)
" stimulates pancreatic beta cell insulin production, resulting in gestational diabetes",Human placental lactogen (hPL)
" lung site at which, going deeper, would require particles to be shuttled by macrophages to pulmonary lymphatics or back up for clearance by the mucociliary system",Terminal bronchioles
" associated with anti-MPO or p-ANCA or anti-neutrophilic cytoplasmic antibody, associated with asthma, eczema",Churg-strauss / Eosinophilic granulomatosis with polyangiitis
" results in retroperitoneal hemorrhage, which cannot be controlled with compression (vs. below a certain ligament)",Arterial puncture above the inguinal ligament
 stroke associated with pure sensory loss on the contralateral side,Thalamic stroke
 this CN exits out at the middle cerebellar peduncle at the level of mid-pons,Trigeminal nerve (CN V)
" presents with sparing of the forehead muscles, hints that damage is not done directly to facial nerve",Facial weakness due to central lesion affecting corticobulbar tract
" can present with normal, but usually high aPTT due to loss of a protein that binds to collagen",von Willebrand factor deficiency
" in addition to providing taste to anterior 2/3rds of tongue, it is also associated with salivary secretion from the parotid gland",CN VII
" lesion of this CN can result in loss of gag reflex due to loss of general sensation at tonsilar lining, upper pharynx",CN IX
" this drug, via inhibition of fungal squalene epoxidase, ultimately results in decreased fungal synthesis",Terbinafine
 one of the few X-linked dominant disorders present only in females (due to how affected males die in utero),Rett syndrome
 1/2*1/2 * frequency for one population * frequency for the other; the 1/2's are due to the fact that autosomal recessive requires independent inheritance of the recessive allele from each parent,Probability that a child of parents from 2 populations with different mutant allele carrier frequencies wrt to autosomal disease
" despite severity driven by pulmonary obstruction; this phenomenon is caused by anterior and cephalad deviation of the infundibuluar septum in utero, resulting in a misaligned VSD with an overriding aorta",Tetrology of fallot
" in general, hospitalized and post-operative individuals are prone to developing this condition, which results in a V/Q mismatch",Pulmonary embolism
" if supine, posterior segments of upper lobes and superior segments of lower lobes are most vulnerable to this",Aspiration pneumonia
" volume that remains in lung after expiration; increased in COPD, resulting in higher ratios of this over TLC",Residual volume
" consider temporal dimension for rise in HCO3; if pCO2 is high with a low HCO3, it likely means a more acute respiratory related event (e.g. heroin overdose) vs something chronic (HCO3 > 30 with COPD)",Respiratory acidosis with metabolic compensation
Empty,*Common peroneal nerve* most common leg nerve injury; assoc with foot drop
 sciatic nerve splits into these nerves,Common peroneal and tibial nerves
 does not typically occur in children,Pheochromocytoma
 a good test to run after high alkaline phosphatase to assess if it is liver or bone related,gamma-glutamyl transpeptidase
 autosomal dominant disorder caused by defective calcium sensors in both the parathyroid gland and kidney; associated with GPCR defect,Familial hypocalciuric hypercalcemia
 can be associated with muscle weakness due to metabolic alkalosis and significant hypokalemia,Primary hyperaldosteronism
" associated with BMPR2 autosomal dominant mutation, a second insult results in medial hypertrophy, onion-skining, then capillary tufts",Hereditary pumonary arterial hypertension
 these heart conditions are louder with handgrip maneuver (increased afterload),"Ventricular septal defect, aortic regurg, mitral regurg"
